query,page,clicks,impressions,ctr,position
brother hl 1200,https://districomp.com.uy/p/impresora-laser-brother-hl-1200-monocromatica-toner-incluido/3695/3695,2,581,0.0034423407917383822,34.922547332185886
brother impresora,https://districomp.com.uy/p/impresora-multifuncion-brother-dcp-t820dw-sistema-continuo-wifi-doble-faz-tinta-incluidas/5272/5268,2,207,0.00966183574879227,8.879227053140097
brother lc60,https://districomp.com.uy/p/cartucho-compatible-brother-lc-60-negro-dcp-j125-410-145-/1994/1994,2,63,0.031746031746031744,5.349206349206349
brother t420w wifi,https://districomp.com.uy/p/impresora-multifuncion-brother-dcp-t420w-sistema-continuo-wifi-tinta-incluidas/3961/3961,2,8,0.25,9.0
bt6001,https://districomp.com.uy/p/botella-de-tinta-brother-bt6001-negro-original/2407/2407,2,14,0.14285714285714285,16.785714285714285
cafetera multilaser,https://districomp.com.uy/p/cafetera-electrica-con-2-tazas-multilaser-be010-negra/4328/4328,2,84,0.023809523809523808,6.035714285714286
caja de lapiceras azules,https://districomp.com.uy/p/lapicera-cristal-azul-caja-x-50-bic/424/424,2,20,0.1,8.0
caja lapiceras bic,https://districomp.com.uy/p/lapicera-cristal-azul-caja-x-50-bic/424/424,2,137,0.014598540145985401,7.649635036496351
calculadora casio con rollo de papel,https://districomp.com.uy/p/calculadora-casio-hr-150rc-con-rollo/736/736,2,108,0.018518518518518517,7.833333333333333
calculadora casio hr 100rc,https://districomp.com.uy/p/calculadora-casio-hr-100rc-con-rollo/5509/5505,2,4,0.5,3.5
calculadora cientifica casio fx 95,https://districomp.com.uy/p/calculadora-cientifica-casio-fx-95ms-2-w/724/724,2,97,0.020618556701030927,16.2680412371134
camaras de seguridad,https://districomp.com.uy/tecnologia/seguridad/camaras-de-seguridad/1,2,104,0.019230769230769232,18.076923076923077
